"""
Will be used later but not for the final version for the cs232 class
"""


stock_abbrev,date,opening_price,daily_max,daily_min,closing_price
APX,01/01/2020,165.65,171.36,151.45,154.68
APX,01/02/2020,154.68,155.19,145.98,147.38
APX,01/03/2020,147.38,161.94,141.34,149.82
APX,01/06/2020,149.82,152.94,144.77,149.35
APX,01/07/2020,149.35,159.49,137.79,154.53
APX,01/08/2020,154.53,157.9,147.71,148.23
APX,01/09/2020,148.23,162.93,146.16,150.37
APX,01/10/2020,150.37,151.27,147.56,147.67
APX,01/13/2020,147.67,150.14,138.55,149.72
APX,01/14/2020,149.72,157.19,141.06,152.29
APX,01/15/2020,152.29,154.0,151.33,152.04
APX,01/16/2020,152.04,161.44,146.97,152.59
APX,01/17/2020,152.59,163.72,143.02,146.16
APX,01/20/2020,146.16,152.87,142.61,149.79
APX,01/21/2020,149.79,163.97,143.63,158.84
APX,01/22/2020,158.84,159.99,148.08,150.79
APX,01/23/2020,150.79,160.22,136.4,148.37
APX,01/24/2020,148.37,151.78,134.81,146.63
APX,01/27/2020,146.63,155.07,134.25,147.22
APX,01/28/2020,147.22,157.14,139.52,144.02
APX,01/29/2020,144.02,155.52,143.85,149.66
APX,01/30/2020,149.66,163.56,140.36,155.95
APX,01/31/2020,155.95,170.33,148.41,165.93
APX,02/03/2020,165.93,180.51,165.06,176.64
APX,02/04/2020,176.64,177.83,164.99,169.85
APX,02/05/2020,169.85,184.09,168.15,182.03
APX,02/06/2020,182.03,194.34,164.51,171.79
APX,02/07/2020,171.79,185.01,159.51,166.36
APX,02/10/2020,166.36,175.11,155.09,160.08
APX,02/11/2020,160.08,165.76,155.12,159.35
APX,02/12/2020,159.35,160.1,154.73,156.92
APX,02/13/2020,156.92,158.31,154.08,155.71
APX,02/14/2020,155.71,170.4,147.72,166.97
APX,02/17/2020,166.97,167.32,151.6,157.51
APX,02/18/2020,157.51,168.43,151.66,164.06
APX,02/19/2020,164.06,176.44,162.53,175.67
APX,02/20/2020,175.67,179.19,159.42,168.48
APX,02/21/2020,168.48,183.44,156.35,183.44
APX,02/24/2020,183.44,193.11,175.84,176.36
APX,02/25/2020,176.36,185.66,167.7,183.91
APX,02/26/2020,183.91,191.68,170.5,191.13
APX,02/27/2020,191.13,200.45,177.17,194.62
APX,02/28/2020,194.62,195.87,182.81,184.97
APX,03/02/2020,184.97,200.31,176.25,185.47
APX,03/03/2020,185.47,190.7,172.97,173.81
APX,03/04/2020,173.81,187.09,162.86,182.17
APX,03/05/2020,182.17,182.6,175.86,180.65
APX,03/06/2020,180.65,198.3,171.59,195.09
APX,03/09/2020,195.09,201.88,183.14,196.42
APX,03/10/2020,196.42,214.36,192.51,195.14
APX,03/11/2020,195.14,207.52,185.41,188.57
APX,03/12/2020,188.57,196.74,178.17,181.43
APX,03/13/2020,181.43,194.62,170.21,192.59
APX,03/16/2020,192.59,210.16,189.4,200.7
APX,03/17/2020,200.7,212.91,195.22,209.84
APX,03/18/2020,209.84,221.68,203.04,207.02
APX,03/19/2020,207.02,227.93,189.11,214.02
APX,03/20/2020,214.02,253.55,175.43,199.76
APX,03/23/2020,199.76,242.81,139.87,224.87
APX,03/24/2020,224.87,277.52,162.02,269.67
APX,03/25/2020,269.67,286.98,198.38,268.46
APX,03/26/2020,268.46,346.12,262.36,331.21
APX,03/27/2020,331.21,383.61,318.89,348.08
APX,03/30/2020,348.08,421.74,321.65,417.82
APX,03/31/2020,417.82,484.11,318.8,368.83
APX,04/01/2020,368.83,469.29,335.17,437.31
APX,04/02/2020,437.31,451.61,351.8,437.4
APX,04/03/2020,437.4,558.78,312.18,453.26
APX,04/06/2020,453.26,497.42,368.44,450.0
APX,04/07/2020,450.0,482.34,329.0,363.44
APX,04/08/2020,363.44,418.63,310.23,334.92
APX,04/09/2020,334.92,342.64,250.05,264.1
APX,04/10/2020,264.1,283.29,262.0,281.34
APX,04/13/2020,281.34,326.88,227.39,257.2
APX,04/14/2020,257.2,279.29,253.87,270.06
APX,04/15/2020,270.06,331.74,205.6,271.24
APX,04/16/2020,271.24,271.99,244.16,260.39
APX,04/17/2020,260.39,307.73,207.94,264.51
APX,04/20/2020,264.51,319.86,246.93,313.0
APX,04/21/2020,313.0,388.68,281.76,318.25
APX,04/22/2020,318.25,320.52,251.93,280.93
APX,04/23/2020,280.93,364.37,230.62,277.27
APX,04/24/2020,277.27,309.7,219.75,286.89
APX,04/27/2020,286.89,350.24,242.36,286.94
APX,04/28/2020,286.94,334.05,205.56,223.93
APX,04/29/2020,223.93,284.69,209.55,281.43
APX,04/30/2020,281.43,336.74,229.76,301.49
APX,05/01/2020,301.49,368.22,273.46,363.03
APX,05/04/2020,363.03,385.73,359.61,365.54
APX,05/05/2020,365.54,366.52,362.2,365.95
APX,05/06/2020,365.95,370.58,335.42,354.72
APX,05/07/2020,354.72,356.06,345.82,348.67
APX,05/08/2020,348.67,383.25,327.77,350.62
APX,05/11/2020,350.62,370.78,332.64,365.11
APX,05/12/2020,365.11,366.14,340.9,354.78
APX,05/13/2020,354.78,386.03,352.86,385.5
APX,05/14/2020,385.5,397.95,372.73,380.65
APX,05/15/2020,380.65,396.03,343.37,371.97
APX,05/18/2020,371.97,395.35,362.52,378.21
APX,05/19/2020,378.21,411.96,363.37,388.44
APX,05/20/2020,388.44,389.97,359.36,382.66
APX,05/21/2020,382.66,387.41,349.03,350.39
APX,05/22/2020,350.39,364.26,336.16,351.17
APX,05/25/2020,351.17,356.79,321.36,325.3
APX,05/26/2020,325.3,328.84,307.85,320.48
APX,05/27/2020,320.48,347.63,295.28,295.93
APX,05/28/2020,295.93,300.08,283.8,296.61
APX,05/29/2020,296.61,303.04,282.23,289.17
APX,06/01/2020,289.17,291.07,263.68,274.92
APX,06/02/2020,274.92,279.37,258.37,269.34
APX,06/03/2020,269.34,296.26,248.09,274.76
APX,06/04/2020,274.76,285.15,267.86,275.36
APX,06/05/2020,275.36,291.17,249.09,273.9
APX,06/08/2020,273.9,280.12,258.91,272.42
APX,06/09/2020,272.42,288.06,261.54,272.49
APX,06/10/2020,272.49,287.95,260.91,286.08
APX,06/11/2020,286.08,307.02,257.82,271.4
APX,06/12/2020,271.4,286.04,261.77,266.35
APX,06/15/2020,266.35,269.35,263.61,266.6
APX,06/16/2020,266.6,267.65,261.44,262.25
APX,06/17/2020,262.25,275.05,258.42,271.13
APX,06/18/2020,271.13,292.06,249.7,257.16
APX,06/19/2020,257.16,277.33,253.86,258.04
APX,06/22/2020,258.04,270.78,250.8,256.68
APX,06/23/2020,256.68,280.05,251.2,256.21
APX,06/24/2020,256.21,272.6,237.93,265.0
APX,06/25/2020,265.0,287.84,262.53,277.4
APX,06/26/2020,277.4,291.12,267.91,290.98
APX,06/29/2020,290.98,319.04,276.25,289.46
APX,06/30/2020,289.46,301.95,281.62,282.45
APX,07/01/2020,282.45,283.2,256.06,259.9
APX,07/02/2020,259.9,261.19,247.11,249.85
APX,07/03/2020,249.85,258.29,240.68,243.16
APX,07/06/2020,243.16,260.8,237.41,256.07
APX,07/07/2020,256.07,281.6,236.8,265.66
APX,07/08/2020,265.66,273.2,241.34,255.23
APX,07/09/2020,255.23,270.41,236.97,261.48
APX,07/10/2020,261.48,264.91,241.52,255.18
APX,07/13/2020,255.18,277.79,235.75,258.51
APX,07/14/2020,258.51,260.78,238.81,255.74
APX,07/15/2020,255.74,271.56,233.5,243.19
APX,07/16/2020,243.19,247.48,237.22,240.56
APX,07/17/2020,240.56,241.26,231.37,235.86
APX,07/20/2020,235.86,254.56,225.38,236.14
APX,07/21/2020,236.14,243.77,229.65,231.99
APX,07/22/2020,231.99,254.38,223.17,236.18
APX,07/23/2020,236.18,257.32,232.64,250.71
APX,07/24/2020,250.71,251.29,226.21,240.62
APX,07/27/2020,240.62,258.78,220.33,254.58
APX,07/28/2020,254.58,275.04,239.55,252.51
APX,07/29/2020,252.51,268.98,251.07,254.61
APX,07/30/2020,254.61,274.92,250.18,274.08
APX,07/31/2020,274.08,295.74,271.68,293.12
APX,08/03/2020,293.12,315.81,275.81,294.34
APX,08/04/2020,294.34,301.67,276.88,279.36
APX,08/05/2020,279.36,292.8,264.07,291.2
APX,08/06/2020,291.2,300.86,278.44,285.84
APX,08/07/2020,285.84,311.14,273.68,300.62
APX,08/10/2020,300.62,316.53,275.37,297.64
APX,08/11/2020,297.64,318.58,296.93,309.71
APX,08/12/2020,309.71,312.14,302.07,311.9
APX,08/13/2020,311.9,318.96,303.82,313.37
APX,08/14/2020,313.37,338.6,303.93,334.03
APX,08/17/2020,334.03,346.93,300.69,312.98
APX,08/18/2020,312.98,319.84,307.53,310.31
APX,08/19/2020,310.31,338.39,289.63,328.21
APX,08/20/2020,328.21,346.2,309.31,318.09
APX,08/21/2020,318.09,330.96,312.04,323.31
APX,08/24/2020,323.31,352.5,304.14,332.7
APX,08/25/2020,332.7,340.65,319.28,325.81
APX,08/26/2020,325.81,350.61,319.0,348.31
APX,08/27/2020,348.31,378.39,320.3,370.53
APX,08/28/2020,370.53,379.76,342.67,344.96
APX,08/31/2020,344.96,373.28,342.06,372.02
APX,09/01/2020,372.02,386.52,353.97,359.72
APX,09/02/2020,359.72,392.81,355.04,378.5
APX,09/03/2020,378.5,413.81,346.5,380.73
APX,09/04/2020,380.73,411.79,378.34,407.57
APX,09/07/2020,407.57,431.35,369.31,384.01
APX,09/08/2020,384.01,405.49,366.12,377.52
APX,09/09/2020,377.52,414.91,356.54,356.83
APX,09/10/2020,356.83,381.39,327.3,369.52
APX,09/11/2020,369.52,396.87,356.74,366.14
APX,09/14/2020,366.14,387.1,364.86,377.87
APX,09/15/2020,377.87,392.02,363.19,376.71
APX,09/16/2020,376.71,387.27,364.59,374.7
APX,09/17/2020,374.7,395.25,342.53,381.95
APX,09/18/2020,381.95,382.42,356.97,357.85
APX,09/21/2020,357.85,371.47,338.94,350.54
APX,09/22/2020,350.54,375.93,343.63,375.03
APX,09/23/2020,375.03,397.62,338.69,394.47
APX,09/24/2020,394.47,427.01,383.9,405.67
APX,09/25/2020,405.67,413.23,389.99,390.42
APX,09/28/2020,390.42,398.88,370.1,384.44
APX,09/29/2020,384.44,401.3,366.65,376.49
APX,09/30/2020,376.49,384.07,364.53,376.12
APX,10/01/2020,376.12,411.0,340.32,378.78
APX,10/02/2020,378.78,412.64,348.15,400.99
APX,10/05/2020,400.99,417.84,366.6,388.52
APX,10/06/2020,388.52,397.82,386.77,388.54
APX,10/07/2020,388.54,395.06,354.37,378.19
APX,10/08/2020,378.19,403.88,365.68,394.67
APX,10/09/2020,394.67,428.11,363.41,378.38
APX,10/12/2020,378.38,400.27,371.12,389.93
APX,10/13/2020,389.93,407.68,384.19,384.88
APX,10/14/2020,384.88,418.53,365.89,370.27
APX,10/15/2020,370.27,381.31,341.27,359.93
APX,10/16/2020,359.93,369.22,343.01,362.27
APX,10/19/2020,362.27,368.04,357.01,361.16
APX,10/20/2020,361.16,361.66,343.68,353.47
APX,10/21/2020,353.47,373.76,332.17,361.7
APX,10/22/2020,361.7,385.15,327.97,350.64
APX,10/23/2020,350.64,383.26,328.12,347.8
APX,10/26/2020,347.8,374.96,317.51,363.26
APX,10/27/2020,363.26,399.41,347.59,370.73
APX,10/28/2020,370.73,399.73,343.79,354.93
APX,10/29/2020,354.93,356.99,350.97,351.17
APX,10/30/2020,351.17,374.81,337.3,354.05
APX,11/02/2020,354.05,357.45,342.63,348.29
APX,11/03/2020,348.29,381.29,338.18,359.45
APX,11/04/2020,359.45,367.34,353.19,367.12
APX,11/05/2020,367.12,373.22,345.7,356.91
APX,11/06/2020,356.91,371.55,331.03,359.42
APX,11/09/2020,359.42,377.25,346.74,351.78
APX,11/10/2020,351.78,353.94,332.29,333.86
APX,11/11/2020,333.86,358.03,300.5,340.52
APX,11/12/2020,340.52,356.99,324.43,326.62
APX,11/13/2020,326.62,335.88,314.84,332.56
APX,11/16/2020,332.56,350.34,322.82,341.44
APX,11/17/2020,341.44,354.77,340.84,343.7
APX,11/18/2020,343.7,359.66,315.91,322.88
APX,11/19/2020,322.88,323.32,315.73,319.27
APX,11/20/2020,319.27,336.48,303.68,324.31
APX,11/23/2020,324.31,354.12,312.67,321.53
APX,11/24/2020,321.53,340.26,311.05,338.0
APX,11/25/2020,338.0,340.88,337.4,338.64
APX,11/26/2020,338.64,371.45,331.41,345.02
APX,11/27/2020,345.02,375.35,326.12,357.16
APX,11/30/2020,357.16,374.46,324.03,373.22
APX,12/01/2020,373.22,376.64,360.67,364.55
APX,12/02/2020,364.55,390.95,346.45,356.31
APX,12/03/2020,356.31,377.61,324.2,360.89
APX,12/04/2020,360.89,387.1,332.61,360.42
APX,12/07/2020,360.42,376.0,346.84,351.85
APX,12/08/2020,351.85,373.52,343.31,372.85
APX,12/09/2020,372.85,392.33,369.21,383.13
APX,12/10/2020,383.13,396.42,346.12,394.39
APX,12/11/2020,394.39,402.0,371.81,380.72
APX,12/14/2020,380.72,399.19,371.55,383.83
APX,12/15/2020,383.83,417.46,345.55,415.12
APX,12/16/2020,415.12,427.86,412.9,415.13
APX,12/17/2020,415.13,431.52,380.46,384.93
APX,12/18/2020,384.93,399.37,366.87,376.77
APX,12/21/2020,376.77,403.83,356.01,386.99
APX,12/22/2020,386.99,396.03,369.14,382.54
APX,12/23/2020,382.54,417.72,374.99,389.97
APX,12/24/2020,389.97,396.25,375.76,394.44
APX,12/25/2020,394.44,407.74,379.19,385.33
APX,12/28/2020,385.33,390.29,376.24,379.05
APX,12/29/2020,379.05,409.39,367.79,398.02
APX,12/30/2020,398.02,410.19,358.34,396.24
APX,12/31/2020,396.24,406.33,363.55,367.4
APX,01/01/2021,367.4,376.44,341.18,356.14
APX,01/04/2021,356.14,378.65,335.6,342.66
APX,01/05/2021,342.66,373.39,324.56,339.23
APX,01/06/2021,339.23,342.2,338.05,339.91
APX,01/07/2021,339.91,350.92,333.47,348.35
APX,01/08/2021,348.35,353.97,316.61,333.22
APX,01/11/2021,333.22,347.44,328.36,338.69
APX,01/12/2021,338.69,358.89,310.98,319.02
APX,01/13/2021,319.02,344.99,300.3,331.78
APX,01/14/2021,331.78,349.54,317.12,347.04
APX,01/15/2021,347.04,361.65,330.11,347.56
APX,01/18/2021,347.56,379.07,326.26,366.19
APX,01/19/2021,366.19,393.67,354.5,387.1
APX,01/20/2021,387.1,390.77,356.58,385.67
APX,01/21/2021,385.67,410.32,373.52,399.38
APX,01/22/2021,399.38,422.65,378.27,386.83
APX,01/25/2021,386.83,423.28,354.35,397.6
APX,01/26/2021,397.6,403.56,372.49,377.89
APX,01/27/2021,377.89,415.59,356.6,387.01
APX,01/28/2021,387.01,391.69,352.76,380.46
APX,01/29/2021,380.46,398.68,379.0,384.76
APX,02/01/2021,384.76,416.37,378.07,404.81
APX,02/02/2021,404.81,406.45,387.73,389.82
APX,02/03/2021,389.82,415.9,382.21,412.04
APX,02/04/2021,412.04,442.6,378.94,382.61
APX,02/05/2021,382.61,419.79,364.76,383.77
APX,02/08/2021,383.77,419.13,359.47,418.58
APX,02/09/2021,418.58,449.65,407.84,418.11
APX,02/10/2021,418.11,433.19,408.09,417.27
APX,02/11/2021,417.27,449.33,376.86,399.29
APX,02/12/2021,399.29,434.32,389.21,426.37
APX,02/15/2021,426.37,455.61,395.27,408.72
APX,02/16/2021,408.72,445.16,370.52,438.85
APX,02/17/2021,438.85,450.28,435.59,437.18
APX,02/18/2021,437.18,478.78,429.6,466.39
APX,02/19/2021,466.39,499.37,421.87,438.27
APX,02/22/2021,438.27,473.73,399.23,414.65
APX,02/23/2021,414.65,448.17,383.31,402.61
APX,02/24/2021,402.61,405.53,382.44,402.31
APX,02/25/2021,402.31,407.58,399.47,402.31
APX,02/26/2021,402.31,415.52,394.19,400.8
APX,03/01/2021,400.8,437.27,384.19,415.96
APX,03/02/2021,415.96,432.0,394.47,405.51
APX,03/03/2021,405.51,444.34,399.71,425.05
APX,03/04/2021,425.05,456.4,387.5,410.09
APX,03/05/2021,410.09,431.35,381.17,417.58
APX,03/08/2021,417.58,432.06,388.06,400.03
APX,03/09/2021,400.03,419.8,360.53,371.54
APX,03/10/2021,371.54,375.65,362.99,373.9
APX,03/11/2021,373.9,399.08,373.83,396.6
APX,03/12/2021,396.6,411.81,393.07,405.97
APX,03/15/2021,405.97,433.45,390.97,416.86
APX,03/16/2021,416.86,417.51,386.54,417.07
APX,03/17/2021,417.07,419.19,375.99,402.3
APX,03/18/2021,402.3,435.15,375.37,414.23
APX,03/19/2021,414.23,440.27,373.27,396.36
APX,03/22/2021,396.36,422.64,387.82,411.24
APX,03/23/2021,411.24,445.94,407.12,436.27
APX,03/24/2021,436.27,438.08,434.74,435.26
APX,03/25/2021,435.26,465.15,428.49,451.48
APX,03/26/2021,451.48,464.82,414.71,422.78
APX,03/29/2021,422.78,425.42,391.9,411.98
APX,03/30/2021,411.98,431.7,382.54,425.53
APX,03/31/2021,425.53,438.38,385.37,414.57
APX,04/01/2021,414.57,422.41,409.98,412.5
APX,04/02/2021,412.5,437.95,381.41,419.9
APX,04/05/2021,419.9,423.34,382.61,402.16
APX,04/06/2021,402.16,434.19,401.82,412.52
APX,04/07/2021,412.52,422.16,377.8,406.07
APX,04/08/2021,406.07,425.06,392.57,414.77
APX,04/09/2021,414.77,423.05,377.62,420.12
APX,04/12/2021,420.12,457.0,402.88,418.56
APX,04/13/2021,418.56,420.54,405.62,406.51
APX,04/14/2021,406.51,418.22,394.65,394.66
APX,04/15/2021,394.66,411.86,358.72,397.85
APX,04/16/2021,397.85,427.77,391.85,393.53
APX,04/19/2021,393.53,395.36,373.01,375.92
APX,04/20/2021,375.92,386.8,370.17,384.04
APX,04/21/2021,384.04,419.25,358.24,393.8
APX,04/22/2021,393.8,398.03,355.41,390.76
APX,04/23/2021,390.76,394.88,368.53,378.99
APX,04/26/2021,378.99,387.45,351.74,372.13
APX,04/27/2021,372.13,372.19,340.4,356.49
APX,04/28/2021,356.49,380.12,333.19,356.36
APX,04/29/2021,356.36,361.64,332.48,352.44
APX,04/30/2021,352.44,374.19,344.71,348.12
APX,05/03/2021,348.12,360.34,326.41,352.12
APX,05/04/2021,352.12,367.25,336.39,353.2
APX,05/05/2021,353.2,385.09,334.97,360.86
APX,05/06/2021,360.86,377.88,352.42,359.42
APX,05/07/2021,359.42,360.86,332.95,348.6
APX,05/10/2021,348.6,365.72,330.3,348.62
APX,05/11/2021,348.62,360.36,347.16,357.18
APX,05/12/2021,357.18,392.68,348.88,349.58
APX,05/13/2021,349.58,352.95,337.48,345.91
APX,05/14/2021,345.91,377.71,314.45,345.32
APX,05/17/2021,345.32,355.55,332.76,352.59
APX,05/18/2021,352.59,362.49,343.29,359.6
APX,05/19/2021,359.6,362.87,339.11,353.57
APX,05/20/2021,353.57,384.5,326.78,384.27
APX,05/21/2021,384.27,402.04,364.95,369.22
APX,05/24/2021,369.22,404.98,342.61,371.93
APX,05/25/2021,371.93,396.08,356.86,369.37
APX,05/26/2021,369.37,374.52,367.25,373.14
APX,05/27/2021,373.14,389.53,358.84,381.88
APX,05/28/2021,381.88,382.17,374.91,380.03
APX,05/31/2021,380.03,408.9,350.96,399.1
APX,06/01/2021,399.1,432.69,388.68,412.88
APX,06/02/2021,412.88,443.87,396.97,425.93
APX,06/03/2021,425.93,459.24,418.48,456.65
APX,06/04/2021,456.65,462.52,443.37,447.77
APX,06/07/2021,447.77,474.85,443.08,453.87
APX,06/08/2021,453.87,489.71,438.51,441.22
APX,06/09/2021,441.22,442.47,413.11,423.98
APX,06/10/2021,423.98,440.87,399.52,417.27
APX,06/11/2021,417.27,422.63,407.26,418.95
APX,06/14/2021,418.95,447.35,399.74,434.29
APX,06/15/2021,434.29,455.52,399.79,431.31
APX,06/16/2021,431.31,468.68,397.16,457.67
APX,06/17/2021,457.67,480.75,423.77,436.48
APX,06/18/2021,436.48,459.72,397.83,439.14
APX,06/21/2021,439.14,460.53,418.12,445.34
APX,06/22/2021,445.34,445.76,411.46,417.61
APX,06/23/2021,417.61,435.46,416.42,432.79
APX,06/24/2021,432.79,462.21,427.23,456.57
APX,06/25/2021,456.57,459.76,440.89,459.12
APX,06/28/2021,459.12,494.85,434.04,482.17
APX,06/29/2021,482.17,487.45,435.33,473.54
APX,06/30/2021,473.54,494.57,430.41,455.25
APX,07/01/2021,455.25,463.13,427.57,434.71
APX,07/02/2021,434.71,465.69,402.01,406.93
APX,07/05/2021,406.93,429.42,387.98,389.01
APX,07/06/2021,389.01,419.63,360.41,409.47
APX,07/07/2021,409.47,422.72,398.06,421.89
APX,07/08/2021,421.89,423.21,403.66,406.25
APX,07/09/2021,406.25,416.86,386.31,403.04
APX,07/12/2021,403.04,425.36,402.3,408.67
APX,07/13/2021,408.67,408.8,368.16,384.6
APX,07/14/2021,384.6,386.71,357.31,373.12
APX,07/15/2021,373.12,398.58,344.85,373.05
APX,07/16/2021,373.05,389.2,336.76,386.18
APX,07/19/2021,386.18,402.04,381.83,394.39
APX,07/20/2021,394.39,431.76,370.25,405.52
APX,07/21/2021,405.52,435.05,388.9,408.8
APX,07/22/2021,408.8,428.14,398.54,420.89
APX,07/23/2021,420.89,435.46,391.21,435.3
APX,07/26/2021,435.3,472.72,414.37,436.13
APX,07/27/2021,436.13,449.2,400.32,433.52
APX,07/28/2021,433.52,437.14,419.68,436.13
APX,07/29/2021,436.13,443.58,423.37,440.04
APX,07/30/2021,440.04,482.28,433.02,440.33
APX,08/02/2021,440.33,451.79,435.5,440.68
APX,08/03/2021,440.68,441.67,397.05,433.41
APX,08/04/2021,433.41,465.63,430.87,443.38
APX,08/05/2021,443.38,471.02,402.62,436.66
APX,08/06/2021,436.66,469.04,405.14,421.2
APX,08/09/2021,421.2,421.93,413.74,414.48
APX,08/10/2021,414.48,420.23,402.52,406.78
APX,08/11/2021,406.78,422.65,376.92,410.99
APX,08/12/2021,410.99,426.74,373.56,380.79
APX,08/13/2021,380.79,416.58,369.41,377.35
APX,08/16/2021,377.35,386.91,358.68,380.27
APX,08/17/2021,380.27,401.3,368.33,372.03
APX,08/18/2021,372.03,373.88,364.17,364.26
APX,08/19/2021,364.26,372.65,355.73,366.46
APX,08/20/2021,366.46,389.72,334.52,343.09
APX,08/23/2021,343.09,368.54,329.62,344.15
APX,08/24/2021,344.15,344.51,325.17,332.49
APX,08/25/2021,332.49,337.03,319.22,327.0
APX,08/26/2021,327.0,327.05,315.8,318.92
APX,08/27/2021,318.92,333.29,310.06,310.89
APX,08/30/2021,310.89,334.27,309.91,319.38
APX,08/31/2021,319.38,349.12,303.75,307.29
APX,09/01/2021,307.29,318.57,283.09,286.5
APX,09/02/2021,286.5,292.36,283.64,292.27
APX,09/03/2021,292.27,301.83,276.01,285.17
APX,09/06/2021,285.17,305.24,258.7,260.32
APX,09/07/2021,260.32,274.34,234.74,250.69
APX,09/08/2021,250.69,250.91,236.84,239.71
APX,09/09/2021,239.71,249.98,237.31,247.81
APX,09/10/2021,247.81,260.74,234.24,253.61
APX,09/13/2021,253.61,277.95,248.41,249.32
APX,09/14/2021,249.32,261.96,231.53,239.22
APX,09/15/2021,239.22,259.01,232.14,254.16
APX,09/16/2021,254.16,273.29,242.1,255.75
APX,09/17/2021,255.75,278.38,252.38,254.89
APX,09/20/2021,254.89,265.62,242.79,243.51
APX,09/21/2021,243.51,257.03,238.38,242.06
APX,09/22/2021,242.06,257.04,237.27,243.99
APX,09/23/2021,243.99,256.54,241.08,249.38
APX,09/24/2021,249.38,260.84,249.38,256.47
APX,09/27/2021,256.47,281.73,237.84,239.45
APX,09/28/2021,239.45,248.94,230.65,234.01
APX,09/29/2021,234.01,246.53,232.01,241.47
APX,09/30/2021,241.47,265.25,240.97,262.21
APX,10/01/2021,262.21,275.8,240.42,266.05
APX,10/04/2021,266.05,272.84,256.58,258.24
APX,10/05/2021,258.24,280.38,256.67,258.79
APX,10/06/2021,258.79,262.47,244.46,257.13
APX,10/07/2021,257.13,268.24,254.73,264.14
APX,10/08/2021,264.14,271.07,257.76,261.03
APX,10/11/2021,261.03,263.77,257.84,259.53
APX,10/12/2021,259.53,276.74,245.03,268.02
APX,10/13/2021,268.02,291.46,266.97,275.83
APX,10/14/2021,275.83,278.1,262.62,270.19
APX,10/15/2021,270.19,272.4,257.33,264.7
APX,10/18/2021,264.7,276.33,251.22,259.96
APX,10/19/2021,259.96,273.47,242.11,253.98
APX,10/20/2021,253.98,260.33,231.95,254.26
APX,10/21/2021,254.26,271.8,234.76,243.33
APX,10/22/2021,243.33,255.83,221.16,247.38
APX,10/25/2021,247.38,247.52,235.87,245.33
APX,10/26/2021,245.33,259.18,223.19,242.79
APX,10/27/2021,242.79,266.94,222.1,239.88
APX,10/28/2021,239.88,245.72,220.16,228.8
APX,10/29/2021,228.8,240.06,218.86,239.46
APX,11/01/2021,239.46,253.11,231.45,240.18
APX,11/02/2021,240.18,249.58,239.48,240.38
APX,11/03/2021,240.38,261.49,227.15,239.37
