company_name,order_id,order_date,ship_date,shipping_type,product,sales,profit,shipping_cost,year
Apex Corporation,e50-1b12,01/01/2020,01/08/2020,Standard,accessories,130,73.46,27.22,2020
Apex Corporation,1f6-7195,01/01/2020,01/01/2020,Same Day,phones,92,290.9,71.89,2020
Apex Corporation,b25-35c2,01/01/2020,01/01/2020,Same Day,computers,75,106.81,63.45,2020
Apex Corporation,524-b686,01/01/2020,01/06/2020,Standard,tablets,139,115.05,35.76,2020
Apex Corporation,eb8-7a14,01/01/2020,01/06/2020,Standard,televisions,248,237.29,40.15,2020
Maritime Data,038-5f82,01/01/2020,01/03/2020,Express,Cloud Service,298,183.95,98.33,2020
Maritime Data,1e3-9add,01/01/2020,01/03/2020,Express,Banking platform,298,260.73,96.38,2020
Maritime Data,638-6732,01/01/2020,01/08/2020,Standard,Business Analytics,167,119.91,99.71,2020
Maritime Data,d0d-0ce6,01/01/2020,01/03/2020,Express,Database Security,118,262.42,16.87,2020
Maritime Data,cfc-bf00,01/01/2020,01/03/2020,Express,GPU Software,48,82.53,95.92,2020
Maritime Data,eeb-fff8,01/01/2020,01/03/2020,Express,Workforce Scheduling,127,236.41,28.8,2020
Fusion Energy,5a1-e59d,01/01/2020,01/01/2020,Same Day,Combustion Fluids,116,286.43,81.9,2020
Fusion Energy,923-4d10,01/01/2020,01/03/2020,Express,Cleaning Supplies,276,258.58,79.59,2020
Fusion Energy,98f-0f00,01/01/2020,01/01/2020,Same Day,Greases,38,294.07,35.43,2020
Fusion Energy,df7-c4fd,01/01/2020,01/01/2020,Same Day,Rubber,74,150.91,98.12,2020
Bitterroot Wood Studio,83d-7fb4,01/01/2020,01/06/2020,Standard,Chairs,293,52.06,61.43,2020
Bitterroot Wood Studio,005-0345,01/01/2020,01/01/2020,Same Day,Tables,252,101.42,91.29,2020
Bitterroot Wood Studio,abc-caa7,01/01/2020,01/03/2020,Express,Bedframes,264,164.75,41.55,2020
Bitterroot Wood Studio,de8-8952,01/01/2020,01/03/2020,Express,Bookcases,247,278.9,52.14,2020
Bitterroot Wood Studio,ca5-643b,01/01/2020,01/03/2020,Express,Cabinets,253,194.12,21.08,2020
Echo,839-b0cf,01/01/2020,01/01/2020,Same Day,accessories,14,296.68,13.0,2020
Echo,496-c00a,01/01/2020,01/06/2020,Standard,phones,63,177.82,45.78,2020
Echo,836-50bb,01/01/2020,01/03/2020,Express,computers,129,263.39,38.61,2020
Echo,e95-c2a8,01/01/2020,01/01/2020,Same Day,tablets,59,235.92,67.26,2020
Echo,214-8d89,01/01/2020,01/06/2020,Standard,washers,284,76.49,97.35,2020
Echo,424-5b53,01/01/2020,01/06/2020,Standard,dryers,39,46.85,16.4,2020
Echo,147-c5a3,01/01/2020,01/08/2020,Standard,car radios,282,25.27,46.31,2020
Apex Corporation,a76-5220,01/03/2020,01/05/2020,Express,accessories,229,220.44,81.29,2020
Apex Corporation,ef8-7cf4,01/03/2020,01/05/2020,Express,phones,200,244.43,61.28,2020
Apex Corporation,155-4134,01/03/2020,01/03/2020,Same Day,computers,31,134.63,66.67,2020
Apex Corporation,a90-1d99,01/03/2020,01/05/2020,Express,tablets,244,189.74,62.47,2020
Apex Corporation,015-dd64,01/03/2020,01/03/2020,Same Day,televisions,204,258.8,69.46,2020
Maritime Data,3cd-5a25,01/03/2020,01/09/2020,Standard,Cloud Service,273,203.2,90.45,2020
Maritime Data,82e-f57a,01/03/2020,01/07/2020,Standard,Banking platform,249,101.38,86.17,2020
Maritime Data,e6d-6f91,01/03/2020,01/05/2020,Express,Business Analytics,215,20.19,78.85,2020
Maritime Data,fc5-e6b6,01/03/2020,01/05/2020,Express,Database Security,208,152.36,63.93,2020
Maritime Data,5a1-edd5,01/03/2020,01/05/2020,Express,GPU Software,146,223.97,17.51,2020
Maritime Data,d4d-f144,01/03/2020,01/08/2020,Standard,Workforce Scheduling,283,203.5,98.48,2020
Fusion Energy,f5d-05bc,01/03/2020,01/10/2020,Standard,Combustion Fluids,42,101.35,88.65,2020
Fusion Energy,835-338f,01/03/2020,01/05/2020,Express,Cleaning Supplies,46,109.94,98.48,2020
Fusion Energy,d6f-33ac,01/03/2020,01/10/2020,Standard,Greases,98,227.02,46.05,2020
Fusion Energy,055-f855,01/03/2020,01/05/2020,Express,Rubber,252,31.73,18.24,2020
Bitterroot Wood Studio,6ee-ba08,01/03/2020,01/03/2020,Same Day,Chairs,249,25.46,74.96,2020
Bitterroot Wood Studio,bfe-936a,01/03/2020,01/03/2020,Same Day,Tables,226,91.88,56.87,2020
Bitterroot Wood Studio,b95-255a,01/03/2020,01/08/2020,Standard,Bedframes,182,275.65,83.56,2020
Bitterroot Wood Studio,0a1-ff7c,01/03/2020,01/05/2020,Express,Bookcases,172,229.55,50.06,2020
Bitterroot Wood Studio,515-9140,01/03/2020,01/03/2020,Same Day,Cabinets,173,289.98,29.45,2020
Echo,aa7-a3b7,01/03/2020,01/07/2020,Standard,accessories,164,99.05,34.2,2020
Echo,7c6-c805,01/03/2020,01/03/2020,Same Day,phones,112,153.37,21.44,2020
Echo,343-da62,01/03/2020,01/05/2020,Express,computers,195,137.64,53.04,2020
Echo,643-b500,01/03/2020,01/09/2020,Standard,tablets,238,67.27,12.82,2020
Echo,115-849f,01/03/2020,01/08/2020,Standard,washers,69,219.1,69.49,2020
Echo,d5e-22ef,01/03/2020,01/10/2020,Standard,dryers,113,145.56,46.77,2020
Echo,472-d31e,01/03/2020,01/07/2020,Standard,car radios,29,224.95,49.79,2020
Apex Corporation,a50-0bd8,01/04/2020,01/04/2020,Same Day,accessories,84,95.96,50.64,2020
Apex Corporation,578-f30a,01/04/2020,01/06/2020,Express,phones,245,252.16,76.22,2020
Apex Corporation,212-1c15,01/04/2020,01/06/2020,Express,computers,65,84.11,25.36,2020
Apex Corporation,7d8-5b37,01/04/2020,01/09/2020,Standard,tablets,203,166.48,29.99,2020
Apex Corporation,8c5-5e1d,01/04/2020,01/04/2020,Same Day,televisions,217,274.36,12.61,2020
Maritime Data,f5b-e70b,01/04/2020,01/06/2020,Express,Cloud Service,36,111.69,35.05,2020
